user_id,username,registration_date,region,user_level,age,gender,source_channel
1,ZhangSan,2025-01-01,East,Gold,28,Male,Search
2,LiSi,2025-01-05,West,Silver,34,Female,Social
3,WangWu,2025-01-10,North,Bronze,22,Male,Ads
4,ZhaoLiu,2025-01-15,East,Gold,45,Male,Direct
5,SunQi,2025-01-20,South,Silver,31,Female,Search
6,ZhouBa,2025-01-25,Central,Bronze,29,Male,Social
7,WuJiu,2025-02-01,East,Gold,38,Female,Ads
8,ZhengShi,2025-02-05,West,Silver,26,Male,Direct
9,ChenYi,2025-02-10,North,Bronze,52,Female,Search
10,LinEr,2025-02-15,South,Silver,41,Male,Social
11,HeSan,2025-02-18,East,Bronze,24,Female,Ads
12,GuoSi,2025-02-20,West,Gold,33,Male,Direct
13,MaWu,2025-02-22,North,Silver,27,Female,Search
14,ZhuLiu,2025-02-25,South,Bronze,30,Male,Social
15,XiaoQi,2025-03-01,Central,Gold,36,Female,Ads
16,OldUser1,2024-12-01,East,Gold,60,Male,Direct
17,NewUser1,2025-03-05,North,Bronze,19,Female,Social
18,Silent1,2025-01-01,West,Bronze,25,Male,Ads
19,Silent2,2025-01-15,South,Silver,44,Female,Direct
20,VipUser,2025-02-01,East,Gold,32,Male,Search
